source,country,date,type,value
wikipedia,New Caledonia,02-Apr-20_08:24,cases,16
wikipedia,New Caledonia,02-Apr-20_08:24,deaths,0
wikipedia,New Caledonia,02-Apr-20_08:24,recovered,0
wikipedia,Rwanda,02-Apr-20_08:24,cases,82
wikipedia,Rwanda,02-Apr-20_08:24,deaths,0
wikipedia,Rwanda,02-Apr-20_08:24,recovered,0
wikipedia,Nicaragua,02-Apr-20_08:24,cases,4
wikipedia,Nicaragua,02-Apr-20_08:24,deaths,1
wikipedia,Nicaragua,02-Apr-20_08:24,recovered,0
wikipedia,Italy,02-Apr-20_08:24,cases,110574
wikipedia,Italy,02-Apr-20_08:24,deaths,13155
wikipedia,Italy,02-Apr-20_08:24,recovered,16847
wikipedia,China,02-Apr-20_08:24,cases,81589
wikipedia,China,02-Apr-20_08:24,deaths,3318
wikipedia,China,02-Apr-20_08:24,recovered,76408
wikipedia,Mozambique,02-Apr-20_08:24,cases,10
wikipedia,Mozambique,02-Apr-20_08:24,deaths,0
wikipedia,Mozambique,02-Apr-20_08:24,recovered,0
wikipedia,Belize,02-Apr-20_08:24,cases,3
wikipedia,Belize,02-Apr-20_08:24,deaths,0
wikipedia,Belize,02-Apr-20_08:24,recovered,0
wikipedia,Uganda,02-Apr-20_08:24,cases,44
wikipedia,Uganda,02-Apr-20_08:24,deaths,0
wikipedia,Uganda,02-Apr-20_08:24,recovered,0
wikipedia,France,02-Apr-20_08:24,cases,56325
wikipedia,France,02-Apr-20_08:24,deaths,4025
wikipedia,France,02-Apr-20_08:24,recovered,7882
wikipedia,Serbia,02-Apr-20_08:24,cases,1060
wikipedia,Serbia,02-Apr-20_08:24,deaths,28
wikipedia,Serbia,02-Apr-20_08:24,recovered,42
wikipedia,Slovenia,02-Apr-20_08:24,cases,841
wikipedia,Slovenia,02-Apr-20_08:24,deaths,15
wikipedia,Slovenia,02-Apr-20_08:24,recovered,10
wikipedia,Honduras,02-Apr-20_08:24,cases,172
wikipedia,Honduras,02-Apr-20_08:24,deaths,10
wikipedia,Honduras,02-Apr-20_08:24,recovered,3
wikipedia,Gabon,02-Apr-20_08:24,cases,18
wikipedia,Gabon,02-Apr-20_08:24,deaths,1
wikipedia,Gabon,02-Apr-20_08:24,recovered,0
wikipedia,St. Vincent and the Grenadines,02-Apr-20_08:24,cases,1
wikipedia,St. Vincent and the Grenadines,02-Apr-20_08:24,deaths,0
wikipedia,St. Vincent and the Grenadines,02-Apr-20_08:24,recovered,1
wikipedia,Iran,02-Apr-20_08:24,cases,47593
wikipedia,Iran,02-Apr-20_08:24,deaths,3036
wikipedia,Iran,02-Apr-20_08:24,recovered,15473
wikipedia,Venezuela,02-Apr-20_08:24,cases,144
wikipedia,Venezuela,02-Apr-20_08:24,deaths,3
wikipedia,Venezuela,02-Apr-20_08:24,recovered,43
wikipedia,Armenia,02-Apr-20_08:24,cases,571
wikipedia,Armenia,02-Apr-20_08:24,deaths,3
wikipedia,Armenia,02-Apr-20_08:24,recovered,31
wikipedia,Tanzania,02-Apr-20_08:24,cases,20
wikipedia,Tanzania,02-Apr-20_08:24,deaths,1
wikipedia,Tanzania,02-Apr-20_08:24,recovered,1
wikipedia,Antigua and Barbuda,02-Apr-20_08:24,cases,7
wikipedia,Antigua and Barbuda,02-Apr-20_08:24,deaths,0
wikipedia,Antigua and Barbuda,02-Apr-20_08:24,recovered,0
wikipedia,Papua New Guinea,02-Apr-20_08:24,cases,1
wikipedia,Papua New Guinea,02-Apr-20_08:24,deaths,0
wikipedia,Papua New Guinea,02-Apr-20_08:24,recovered,0
wikipedia,Ivory Coast,02-Apr-20_08:24,cases,190
wikipedia,Ivory Coast,02-Apr-20_08:24,deaths,1
wikipedia,Ivory Coast,02-Apr-20_08:24,recovered,9
wikipedia,Equatorial Guinea,02-Apr-20_08:24,cases,15
wikipedia,Equatorial Guinea,02-Apr-20_08:24,deaths,0
wikipedia,Equatorial Guinea,02-Apr-20_08:24,recovered,1
wikipedia,Northern Cyprus,02-Apr-20_08:24,cases,77
wikipedia,Northern Cyprus,02-Apr-20_08:24,deaths,2
wikipedia,Northern Cyprus,02-Apr-20_08:24,recovered,29
wikipedia,Madagascar,02-Apr-20_08:24,cases,57
wikipedia,Madagascar,02-Apr-20_08:24,deaths,0
wikipedia,Madagascar,02-Apr-20_08:24,recovered,0
wikipedia,Slovakia,02-Apr-20_08:24,cases,400
wikipedia,Slovakia,02-Apr-20_08:24,deaths,1
wikipedia,Slovakia,02-Apr-20_08:24,recovered,7
wikipedia,Somalia,02-Apr-20_08:24,cases,3
wikipedia,Somalia,02-Apr-20_08:24,deaths,0
wikipedia,Somalia,02-Apr-20_08:24,recovered,0
wikipedia,Norway,02-Apr-20_08:24,cases,4877
wikipedia,Norway,02-Apr-20_08:24,deaths,44
wikipedia,Norway,02-Apr-20_08:24,recovered,0
wikipedia,Algeria,02-Apr-20_08:24,cases,847
wikipedia,Algeria,02-Apr-20_08:24,deaths,58
wikipedia,Algeria,02-Apr-20_08:24,recovered,61
wikipedia,Dominican Republic,02-Apr-20_08:24,cases,1284
wikipedia,Dominican Republic,02-Apr-20_08:24,deaths,57
wikipedia,Dominican Republic,02-Apr-20_08:24,recovered,9
wikipedia,Greenland,02-Apr-20_08:24,cases,10
wikipedia,Greenland,02-Apr-20_08:24,deaths,0
wikipedia,Greenland,02-Apr-20_08:24,recovered,2
wikipedia,South Korea,02-Apr-20_08:24,cases,9976
wikipedia,South Korea,02-Apr-20_08:24,deaths,169
wikipedia,South Korea,02-Apr-20_08:24,recovered,5828
wikipedia,Taiwan,02-Apr-20_08:24,cases,339
wikipedia,Taiwan,02-Apr-20_08:24,deaths,5
wikipedia,Taiwan,02-Apr-20_08:24,recovered,50
wikipedia,Myanmar,02-Apr-20_08:24,cases,16
wikipedia,Myanmar,02-Apr-20_08:24,deaths,1
wikipedia,Myanmar,02-Apr-20_08:24,recovered,0
wikipedia,Liberia,02-Apr-20_08:24,cases,6
wikipedia,Liberia,02-Apr-20_08:24,deaths,0
